	Date	Sample #	miRNA	UTR	Sites	Format	Duplex (pmol)	RNAi_MAX (uL)	Renilla plasmid (ng)	Firefly plasmid	TRL (ng)	pUC (ug)	L2K (uL)	Cells plated (millions)	Assay Rep	Trans Rep	Renilla	Firefly
18	190224	18	miR-124	C20orf139	miR-124	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	3	5266	15666
19	190224	19	miR-124	KIF2	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	1	8584	9863
20	190224	20	miR-124	KIF2	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	2	12930	14788
21	190224	21	miR-124	KIF2	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	3	12502	12327
22	190224	22	miR-124	KIF2	miR-124	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	1	6243	12672
23	190224	23	miR-124	KIF2	miR-124	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	2	6218	13961
24	190224	24	miR-124	KIF2	miR-124	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	3	NA	NA
25	190227	1	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	1	18899	24846
26	190227	2	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	2	18591	26314
27	190227	3	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	3	18255	26324
28	190227	4	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	2	1	20349	22080
29	190227	5	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	2	2	19736	22966
30	190227	6	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	2	3	19715	23018
31	190227	7	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	3	1	23129	28172
32	190227	8	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	3	2	22967	28334
33	190227	9	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	3	3	23222	28355
34	190227	10	miR-1	C20orf139	miR-124	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	1	17157	27447
35	190227	11	miR-1	C20orf139	miR-124	Co-transfection	50	NA	100	20	0	1	1.6	0.12	2	1	17464	23319
36	190227	12	miR-1	C20orf139	miR-124	Co-transfection	50	NA	100	20	0	1	1.6	0.12	3	1	25975	58333
37	190227	13	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	100	1	1.6	0.12	1	1	17640	18082
38	190227	14	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	100	1	1.6	0.12	2	1	20217	12978
39	190227	15	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	100	1	1.6	0.12	3	1	19646	12987
40	190227	16	miR-1	C20orf139	miR-124	Co-transfection	50	NA	100	20	100	1	1.6	0.12	1	1	14583	13919
41	190227	17	miR-1	C20orf139	miR-124	Co-transfection	50	NA	100	20	100	1	1.6	0.12	2	1	20114	20988
42	190227	18	miR-1	C20orf139	miR-124	Co-transfection	50	NA	100	20	100	1	1.6	0.12	3	1	13863	20878
43	190227	19	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	0	1.6	0.12	1	1	120897	93571
44	190227	20	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	0	1.6	0.12	2	1	138962	96697
45	190227	21	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	0	1.6	0.12	3	1	147134	83802
46	190227	22	miR-1	C20orf139	miR-124	Co-transfection	50	NA	100	20	0	0	1.6	0.12	1	1	119549	99548
47	190227	23	miR-1	C20orf139	miR-124	Co-transfection	50	NA	100	20	0	0	1.6	0.12	2	1	122105	99251
48	190227	24	miR-1	C20orf139	miR-124	Co-transfection	50	NA	100	20	0	0	1.6	0.12	3	1	79754	96658
49	190227	25	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	100	0	1.6	0.12	1	1	20833	26441
50	190227	26	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	100	0	1.6	0.12	2	1	49507	43650
51	190227	27	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	100	0	1.6	0.12	3	1	54821	48875
52	190227	28	miR-1	C20orf139	miR-124	Co-transfection	50	NA	100	20	100	0	1.6	0.12	1	1	48848	56263
53	190227	29	miR-1	C20orf139	miR-124	Co-transfection	50	NA	100	20	100	0	1.6	0.12	2	1	51641	49817
54	190227	30	miR-1	C20orf139	miR-124	Co-transfection	50	NA	100	20	100	0	1.6	0.12	2	1	34469	40465
55	190228	1	miR-1	C20orf139	miR-1	Serial transfection	50	1.5	100	20	100	1	1.6	0.12	1	1	378151	220113
56	190228	2	miR-1	C20orf139	miR-1	Serial transfection	50	1.5	100	20	100	1	1.6	0.12	1	2	477659	294311
57	190228	3	miR-1	C20orf139	miR-1	Serial transfection	50	1.5	100	20	100	1	1.6	0.12	1	3	528233	308931
58	190228	4	miR-1	C20orf139	miR-124	Serial transfection	50	1.5	100	20	100	1	1.6	0.12	1	1	643889	269077
59	190228	5	miR-1	C20orf139	miR-124	Serial transfection	50	1.5	100	20	100	1	1.6	0.12	1	2	637693	257359
60	190228	6	miR-1	C20orf139	miR-124	Serial transfection	50	1.5	100	20	100	1	1.6	0.12	1	3	356029	151104
61	190228	7	miR-1	C20orf139	miR-1	Serial transfection	50	1.5	100	20	0	1	1.6	0.12	1	1	544797	319698
62	190228	8	miR-1	C20orf139	miR-1	Serial transfection	50	1.5	100	20	0	1	1.6	0.12	1	2	613292	298005
63	190228	9	miR-1	C20orf139	miR-1	Serial transfection	50	1.5	100	20	0	1	1.6	0.12	1	3	674416	314540
64	190228	10	miR-1	C20orf139	miR-124	Serial transfection	50	1.5	100	20	0	1	1.6	0.12	1	1	920299	331160
65	190228	11	miR-1	C20orf139	miR-124	Serial transfection	50	1.5	100	20	0	1	1.6	0.12	1	2	880618	356265
66	190228	12	miR-1	C20orf139	miR-124	Serial transfection	50	1.5	100	20	0	1	1.6	0.12	1	3	745597	312494
67	190228	13	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	0	1	1.6	0.12	1	1	424366	220074
68	190228	14	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	0	1	1.6	0.12	1	2	607498	323970
69	190228	15	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	0	1	1.6	0.12	1	3	645188	329916
70	190228	16	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	0	1	1.6	0.12	1	1	753198	307583
71	190228	17	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	0	1	1.6	0.12	1	2	854412	327233
72	190228	18	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	0	1	1.6	0.12	1	3	727888	313805
73	190228	19	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	1	137012	115880
74	190228	20	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	2	240581	192027
75	190228	21	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	3	331778	224226
76	190228	22	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	1	481209	214819
77	190228	23	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	2	575622	219484
78	190228	24	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	3	196900	110545
79	190302	1	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	1	758653	372829
80	190302	2	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	2	860218	388521
81	190302	3	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	3	665364	316918
82	190302	4	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	1	1069222	366613
83	190302	5	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	2	1039139	380954
84	190302	6	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	3	174018	121727
85	190302	7	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	500	0.6	1.6	0.12	1	1	324041	223975
86	190302	8	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	500	0.6	1.6	0.12	1	2	409727	252559
87	190302	9	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	500	0.6	1.6	0.12	1	3	349501	217641
88	190302	10	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	500	0.6	1.6	0.12	1	1	406445	173077
89	190302	11	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	500	0.6	1.6	0.12	1	2	252545	130614
90	190302	12	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	500	0.6	1.6	0.12	1	3	268797	141697
91	190302	13	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	100	1	3.05	0.12	1	1	579990	304710
92	190302	14	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	100	1	3.05	0.12	1	2	586048	313178
93	190302	15	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	100	1	3.05	0.12	1	3	620087	319232
94	190302	16	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	100	1	3.05	0.12	1	1	739985	292925
95	190302	17	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	100	1	3.05	0.12	1	2	448547	186259
96	190302	18	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	100	1	3.05	0.12	1	3	291659	119561
97	190302	19	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	500	0.6	3.05	0.12	1	1	249512	189684
98	190302	20	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	500	0.6	3.05	0.12	1	2	289595	212829
99	190302	21	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	500	0.6	3.05	0.12	1	3	303518	225250
100	190302	22	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	500	0.6	3.05	0.12	1	1	278834	145391
101	190302	23	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	500	0.6	3.05	0.12	1	2	210928	117155
102	190302	24	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	500	0.6	3.05	0.12	1	3	309253	167208
103	190303	1	miR-1	C20orf139	miR-1	Serial transfection	50	1.5	100	20	100	1	1.6	0.12	1	1	907226	466225
104	190303	2	miR-1	C20orf139	miR-1	Serial transfection	50	1.5	100	20	100	1	1.6	0.12	1	2	1056420	509237
105	190303	3	miR-1	C20orf139	miR-1	Serial transfection	50	1.5	100	20	100	1	1.6	0.12	1	3	1121547	519043
106	190303	4	miR-1	C20orf139	miR-124	Serial transfection	50	1.5	100	20	100	1	1.6	0.12	1	1	1397840	495414
107	190303	5	miR-1	C20orf139	miR-124	Serial transfection	50	1.5	100	20	100	1	1.6	0.12	1	2	1450103	532903
108	190303	6	miR-1	C20orf139	miR-124	Serial transfection	50	1.5	100	20	100	1	1.6	0.12	1	3	622088	335201
109	190303	7	miR-1	C20orf139	miR-1	Serial transfection	50	4.5	100	20	100	1	1.6	0.12	1	1	222822	224768
110	190303	8	miR-1	C20orf139	miR-1	Serial transfection	50	4.5	100	20	100	1	1.6	0.12	1	2	275264	267333
111	190303	9	miR-1	C20orf139	miR-1	Serial transfection	50	4.5	100	20	100	1	1.6	0.12	1	3	260592	262429
112	190303	10	miR-1	C20orf139	miR-124	Serial transfection	50	4.5	100	20	100	1	1.6	0.12	1	1	366621	268034
113	190303	11	miR-1	C20orf139	miR-124	Serial transfection	50	4.5	100	20	100	1	1.6	0.12	1	2	120821	111117
114	190303	12	miR-1	C20orf139	miR-124	Serial transfection	50	4.5	100	20	100	1	1.6	0.12	1	3	99218	88772
115	190303	13	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	1	517980	422574
116	190303	14	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	2	1194122	512836
117	190303	15	miR-1	C20orf139	miR-1	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	3	1162912	521920
118	190303	16	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	1	1182497	604469
119	190303	17	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	2	565443	397463
120	190303	18	miR-1	C20orf139	miR-124	Serial transfection	15	1.5	100	20	100	1	1.6	0.12	1	3	423593	310260
121	190303	19	miR-1	C20orf139	miR-1	Serial transfection	15	4.5	100	20	100	1	1.6	0.12	1	1	163516	180545
122	190303	20	miR-1	C20orf139	miR-1	Serial transfection	15	4.5	100	20	100	1	1.6	0.12	1	2	301069	267322
123	190303	21	miR-1	C20orf139	miR-1	Serial transfection	15	4.5	100	20	100	1	1.6	0.12	1	3	265161	254527
124	190303	22	miR-1	C20orf139	miR-124	Serial transfection	15	4.5	100	20	100	1	1.6	0.12	1	1	167850	131073
125	190303	23	miR-1	C20orf139	miR-124	Serial transfection	15	4.5	100	20	100	1	1.6	0.12	1	2	340441	236287
126	190303	24	miR-1	C20orf139	miR-124	Serial transfection	15	4.5	100	20	100	1	1.6	0.12	1	3	154670	124880
127	190317	1	miR-1	C20orf139	miR-1	Serial transfection	15	4.5	100	20	100	1	1.6	0.12	1	1	1704221	908137
128	190317	2	miR-1	C20orf139	miR-1	Serial transfection	15	4.5	100	20	100	1	1.6	0.12	1	2	1697178	900924
129	190317	3	miR-1	C20orf139	miR-1	Serial transfection	15	4.5	100	20	100	1	1.6	0.12	1	3	1758979	955716
130	190317	4	miR-1	C20orf139	miR-124	Serial transfection	15	4.5	100	20	100	1	1.6	0.12	1	1	2440494	949612
131	190317	5	miR-1	C20orf139	miR-124	Serial transfection	15	4.5	100	20	100	1	1.6	0.12	1	2	2400755	936308
132	190317	6	miR-1	C20orf139	miR-124	Serial transfection	15	4.5	100	20	100	1	1.6	0.12	1	3	1246574	567955
133	190317	7	miR-1	C20orf139	miR-1	Serial transfection	15	4.5	100	20	100	1	1.6	0.1	1	1	1786504	1079181
134	190317	8	miR-1	C20orf139	miR-1	Serial transfection	15	4.5	100	20	100	1	1.6	0.1	1	2	2016754	1233876
135	190317	9	miR-1	C20orf139	miR-1	Serial transfection	15	4.5	100	20	100	1	1.6	0.1	1	3	2039689	1314616
136	190317	10	miR-1	C20orf139	miR-124	Serial transfection	15	4.5	100	20	100	1	1.6	0.1	1	1	2761703	1216995
137	190317	11	miR-1	C20orf139	miR-124	Serial transfection	15	4.5	100	20	100	1	1.6	0.1	1	2	614119	327023
138	190317	12	miR-1	C20orf139	miR-124	Serial transfection	15	4.5	100	20	100	1	1.6	0.1	1	3	378360	188665
139	190317	13	miR-1	C20orf139	miR-1	Serial transfection	15	4.5	100	20	100	1	1.6	0.8	1	1	1111672	699262
140	190317	14	miR-1	C20orf139	miR-1	Serial transfection	15	4.5	100	20	100	1	1.6	0.8	1	2	1311045	822559
141	190317	15	miR-1	C20orf139	miR-1	Serial transfection	15	4.5	100	20	100	1	1.6	0.8	1	3	1293985	820324
142	190317	16	miR-1	C20orf139	miR-124	Serial transfection	15	4.5	100	20	100	1	1.6	0.8	1	1	850587	408883
143	190317	17	miR-1	C20orf139	miR-124	Serial transfection	15	4.5	100	20	100	1	1.6	0.8	1	2	432525	229189
144	190317	18	miR-1	C20orf139	miR-124	Serial transfection	15	4.5	100	20	100	1	1.6	0.8	1	3	414979	223726
145	190317	19	miR-1	C20orf139	miR-1	Serial transfection	15	4.5	100	20	100	1	1.6	0.6	1	1	434062	303292
146	190317	20	miR-1	C20orf139	miR-1	Serial transfection	15	4.5	100	20	100	1	1.6	0.6	1	2	589171	401868
147	190317	21	miR-1	C20orf139	miR-1	Serial transfection	15	4.5	100	20	100	1	1.6	0.6	1	3	488293	334863
148	190317	22	miR-1	C20orf139	miR-124	Serial transfection	15	4.5	100	20	100	1	1.6	0.6	1	1	449124	238424
149	190317	23	miR-1	C20orf139	miR-124	Serial transfection	15	4.5	100	20	100	1	1.6	0.6	1	2	414970	218713
150	190317	24	miR-1	C20orf139	miR-124	Serial transfection	15	4.5	100	20	100	1	1.6	0.6	1	3	755724	378453
151	190415	1	miR-1	C20orf139	miR-1	Co-transfection	50	1.5	100	20	100	0	NA	0.1	1	1	55938	87755
152	190415	2	miR-1	C20orf139	miR-1	Co-transfection	50	1.5	100	20	100	0	NA	0.1	1	2	52804	82337
153	190415	3	miR-1	C20orf139	miR-1	Co-transfection	50	1.5	100	20	100	0	NA	0.1	1	3	49934	80738
154	190415	4	miR-1	C20orf139	miR-124	Co-transfection	50	1.5	100	20	100	0	NA	0.1	1	1	67408	92025
155	190415	5	miR-1	C20orf139	miR-124	Co-transfection	50	1.5	100	20	100	0	NA	0.1	1	2	65193	91315
156	190415	6	miR-1	C20orf139	miR-124	Co-transfection	50	1.5	100	20	100	0	NA	0.1	1	3	25836	74077
157	190415	7	miR-1	C20orf139	miR-1	Co-transfection	50	1.5	100	20	500	0	NA	0.1	1	1	29164	31501
158	190415	8	miR-1	C20orf139	miR-1	Co-transfection	50	1.5	100	20	500	0	NA	0.1	1	2	32188	35480
159	190415	9	miR-1	C20orf139	miR-1	Co-transfection	50	1.5	100	20	500	0	NA	0.1	1	3	31333	30975
160	190415	10	miR-1	C20orf139	miR-124	Co-transfection	50	1.5	100	20	500	0	NA	0.1	1	1	47904	41036
161	190415	11	miR-1	C20orf139	miR-124	Co-transfection	50	1.5	100	20	500	0	NA	0.1	1	2	31519	42017
162	190415	12	miR-1	C20orf139	miR-124	Co-transfection	50	1.5	100	20	500	0	NA	0.1	1	3	43225	36180
163	190415	13	miR-1	C20orf139	miR-1	Co-transfection	50	1.5	100	20	100	1	NA	0.1	1	1	7506	24093
164	190415	14	miR-1	C20orf139	miR-1	Co-transfection	50	1.5	100	20	100	1	NA	0.1	1	2	8999	23978
165	190415	15	miR-1	C20orf139	miR-1	Co-transfection	50	1.5	100	20	100	1	NA	0.1	1	3	8410	24694
166	190415	16	miR-1	C20orf139	miR-124	Co-transfection	50	1.5	100	20	100	1	NA	0.1	1	1	10292	26929
167	190415	17	miR-1	C20orf139	miR-124	Co-transfection	50	1.5	100	20	100	1	NA	0.1	1	2	10046	25223
168	190415	18	miR-1	C20orf139	miR-124	Co-transfection	50	1.5	100	20	100	1	NA	0.1	1	3	10988	25742
169	190415	19	miR-1	C20orf139	miR-1	Co-transfection	50	1.5	100	20	500	0.6	NA	0.1	1	1	1073	3358
170	190415	20	miR-1	C20orf139	miR-1	Co-transfection	50	1.5	100	20	500	0.6	NA	0.1	1	2	1230	3902
171	190415	21	miR-1	C20orf139	miR-1	Co-transfection	50	1.5	100	20	500	0.6	NA	0.1	1	3	1761	4143
172	190415	22	miR-1	C20orf139	miR-124	Co-transfection	50	1.5	100	20	500	0.6	NA	0.1	1	1	2732	4970
173	190415	23	miR-1	C20orf139	miR-124	Co-transfection	50	1.5	100	20	500	0.6	NA	0.1	1	2	3367	5947
174	190415	24	miR-1	C20orf139	miR-124	Co-transfection	50	1.5	100	20	500	0.6	NA	0.1	1	3	1776	5483
