"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX7128981","GSM4156806: HeLa_miR-139_transfection_rep2_batch4; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638325","","451","1","26251028","1050041120","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128980","GSM4156805: HeLa_miR-124_transfection_rep1_batch4; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638324","","511.3","1","29810725","1192429000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128979","GSM4156804: HeLa_miR-7_transfection_rep2_batch4; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638323","","570.63","1","33217201","1328688040","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128978","GSM4156803: HeLa_miR-1_transfection_rep1_batch4; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638322","","456.51","1","26395875","1055835000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128977","GSM4156802: HeLa_lsy-6_transfection_rep1_batch4; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638321","","492.74","1","28539607","1141584280","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128976","GSM4156801: HeLa_let-7a_transfection_rep1_batch4; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638320","","621.77","1","36273269","1450930760","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128975","GSM4156800: HeLa_miR-216b_transfection_rep1_batch3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638319","","329.94","1","24229200","969168000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128974","GSM4156799: HeLa_miR-205_transfection_rep2_batch3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638318","","152.73","1","11096460","443858400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128973","GSM4156798: HeLa_miR-182_transfection_rep1_batch3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638317","","285.58","1","21019331","840773240","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128972","GSM4156797: HeLa_miR-153_transfection_rep1_batch3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638316","","190.54","1","13944707","557788280","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128971","GSM4156796: HeLa_miR-139_transfection_rep1_batch3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638315","","318.37","1","23466179","938647160","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128970","GSM4156795: HeLa_miR-137_transfection_rep2_batch3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638314","","198.67","1","14502995","580119800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128969","GSM4156794: HeLa_miR-7_transfection_rep1_batch3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638313","","378.29","1","27744057","1109762280","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128968","GSM4156793: HeLa_miR-223_transfection_rep1_batch2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638312","","263.01","1","17399447","695977880","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128967","GSM4156792: HeLa_miR-205_transfection_rep1_batch2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638311","","227.08","1","15011329","600453160","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128966","GSM4156791: HeLa_miR-204_transfection_rep2_batch2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638310","","275.33","1","18162852","726514080","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128965","GSM4156790: HeLa_miR-199a_transfection_rep2_batch2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638309","","287.14","1","18937411","757496440","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128964","GSM4156789: HeLa_miR-155_transfection_rep1_batch2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638308","","254.91","1","16804678","672187120","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128963","GSM4156788: HeLa_miR-144_transfection_rep2_batch2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638307","","239.76","1","15764510","630580400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128962","GSM4156787: HeLa_miR-143_transfection_rep1_batch2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638306","","254.88","1","16895197","675807880","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128961","GSM4156786: HeLa_miR-137_transfection_rep1_batch2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638305","","249.16","1","16470100","658804000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128960","GSM4156785: HeLa_miR-204_transfection_rep1_batch1; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638304","","311.58","1","22034388","881375520","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128959","GSM4156784: HeLa_miR-199a_transfection_rep1_batch1; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638303","","203.3","1","14209442","568377680","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128958","GSM4156783: HeLa_miR-144_transfection_rep1_batch1; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638302","","337.66","1","23853604","954144160","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
