"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX10942181","GSM5324625: miR-155_purification_1_4percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021313","","234.94","1","15932740","637309600","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942180","GSM5324624: miR-155_purification_1_12.65percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021312","","174.53","1","11814674","472586960","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942179","GSM5324623: miR-155_purification_1_40percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021311","","267.38","1","18352313","734092520","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942178","GSM5324622: miR-155_purification_1_inputlibrary; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021310","","896.11","1","61550832","2462033280","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942177","GSM5324621: let-7a(-1)_purification1_0percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021309","","273.95","1","16158711","646348440","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942176","GSM5324620: let-7a(-1)_purification1_0.4percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021308","","383.4","1","22494267","899770680","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942175","GSM5324619: let-7a(-1)_purification1_1.265percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021307","","212.11","1","12347867","493914680","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942174","GSM5324618: let-7a(-1)_purification1_4percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021306","","339.35","1","20042768","801710720","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942173","GSM5324617: let-7a(-1)_purification1_12.65percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021305","","253.95","1","14813932","592557280","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942172","GSM5324616: let-7a(-1)_purification1_40percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021304","","446.41","1","26417313","1056692520","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942171","GSM5324615: let-7a(+1)_purification1_0percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021303","","261.38","1","15290528","611621120","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942170","GSM5324614: let-7a(+1)_purification1_0.4percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021301","","398.37","1","23500731","940029240","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942169","GSM5324613: let-7a(+1)_purification1_1.265percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021302","","303.86","1","17910039","716401560","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942168","GSM5324612: let-7a(+1)_purification1_4percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021300","","282.84","1","16631594","665263760","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942167","GSM5324611: let-7a(+1)_purification1_12.65percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021299","","303.38","1","17808547","712341880","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942166","GSM5324610: let-7a(+1)_purification1_40percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021298","","370.81","1","21729928","869197120","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942165","GSM5324609: let-7a(+1),let-7a(-1)_purification1_inputlibrary; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021297","","987.58","1","58768772","2350750880","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942164","GSM5324608: miR-1_purification_1_0percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021295","","357.32","1","21433368","857334720","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942162","GSM5324607: miR-1_purification_1_0.4percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021294","","295.02","1","17751763","710070520","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942161","GSM5324606: miR-1_purification_1_1.265percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021293","","325.28","1","19617961","784718440","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942160","GSM5324605: miR-1_purification_1_4percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021292","","289.21","1","15322631","766131550","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942159","GSM5324604: miR-1_purification_1_12.65percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021291","","208.12","1","11026152","551307600","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942158","GSM5324603: miR-1_purification_1_40percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021289","","237.84","1","12589194","629459700","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942156","GSM5324602: miR-1_purification_1_inputlibrary; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021288","","1076.44","1","57999065","2899953250","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942155","GSM5324601: let-7a-21nt_purification2_0percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021287","","467.73","1","18268601","730744040","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942154","GSM5324600: let-7a-21nt_purification2_0.4percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021286","","342.59","1","13505619","540224760","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942153","GSM5324599: let-7a-21nt_purification2_1.265percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021285","","311.03","1","12280260","491210400","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942152","GSM5324598: let-7a-21nt_purification2_4percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021283","","370.44","1","14953683","598147320","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942151","GSM5324597: let-7a-21nt_purification2_12.65percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021284","","438.76","1","17897395","715895800","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942150","GSM5324596: let-7a-21nt_purification2_40percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021282","","338.58","1","13767475","550699000","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942149","GSM5324595: let-7a-21nt_purification2_inputlibrary; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021281","","851.09","1","34388974","1375558960","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942148","GSM5324594: let-7a-21nt_purification1_0percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021280","","245.2","1","12824587","641229350","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942147","GSM5324593: let-7a-21nt_purification1_0.4percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021279","","222.59","1","11676064","583803200","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942146","GSM5324592: let-7a-21nt_purification1_1.265percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021278","","257.91","1","13701419","685070950","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942145","GSM5324591: let-7a-21nt_purification1_4percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021277","","142.16","1","7479672","373983600","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942144","GSM5324590: let-7a-21nt_purification1_12.65percent_rep2; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021275","","302.03","1","17443035","697721400","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942143","GSM5324589: let-7a-21nt_purification1_12.65percent_rep1; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021276","","301.09","1","15664229","783211450","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942142","GSM5324588: let-7a-21nt_purification1_40percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021274","","176.98","1","9215668","460783400","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942141","GSM5324587: let-7a-21nt_purification1_inputlibrary; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021270","","1055.81","1","56577667","2828883350","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942140","GSM5324642: miR-155-let-7a_purification1_0percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021271","","411.34","1","22850473","914018920","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942139","GSM5324641: miR-155-let-7a_purification1_0.4percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021273","","372.61","1","20704120","828164800","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942138","GSM5324640: miR-155-let-7a_purification1_1.265percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021272","","403.32","1","22406980","896279200","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942137","GSM5324639: miR-155-let-7a_purification1_4percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021268","","931.96","1","52101031","2084041240","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942136","GSM5324638: miR-155-let-7a_purification1_12.65percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021269","","391.2","1","21723665","868946600","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942135","GSM5324637: miR-155-let-7a_purification1_40percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021267","","602.93","1","33624805","1344992200","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942134","GSM5324636: miR-155-let-7a_purification1_inputlibrary; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021266","","1872.55","1","104943610","4197744400","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
